2025-07-21 00:55:27.348 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:19 - GenerateAdNode initialized with inline prompt chain.
2025-07-21 00:55:27.348 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:27.660 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:27.660 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:243 - HumanReviewRouter initialized successfully with inline prompt.
2025-07-21 00:55:27.660 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:27.975 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:27.976 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:21 - FeedbackLoopNode initialized with inline prompt chain.
2025-07-21 00:55:27.976 | INFO     | workflows.graphs.campaign.subgraphs.media_ad_gen_subgraph:__init__:24 - Initializing CampaignWorkflow...
2025-07-21 00:55:27.976 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:28.285 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:28.285 | INFO     | workflows.graphs.campaign.nodes.email_ad_generator_node:__init__:21 - EmailAdGeneratorNode initialized.
2025-07-21 00:55:28.285 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:28.596 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:28.596 | INFO     | workflows.graphs.campaign.nodes.web_ad_generator_node:__init__:21 - WebAdGeneratorNode initialized.
2025-07-21 00:56:14.983 | INFO     | __main__:__init__:28 - Initializing CampaignWorkflow...
2025-07-21 00:56:14.984 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-21 00:56:14.984 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-21 00:56:14.986 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:15.402 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:15.403 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-21 00:56:15.403 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:15.705 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:15.706 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:26 - RecommendNode initialized with inline prompt chain.
2025-07-21 00:56:15.706 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:16.005 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:16.006 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:19 - GenerateAdNode initialized with inline prompt chain.
2025-07-21 00:56:16.006 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:16.309 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:16.309 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:243 - HumanReviewRouter initialized successfully with inline prompt.
